Name
DSG Nepomuk
DSG Hotel Kalcio
DSG Südtirol 16
DSG Großglockner Falken
DSG Dynamo Döbling
DSG Ararat
Dsg Rudolfsheim I.F.
DSG Atemnot
DSG O Jessas
DSG Dornbach Sox
Dsg T.Hietzing
DSG Mariahilf Union
